#N,trial,mode,bytes
1,0,0,23
1,1,0,26
1,2,0,23
1,3,0,25
1,4,0,23
1,5,0,25
1,6,0,22
1,7,0,24
1,8,0,23
1,9,0,24
1,10,0,23
1,11,0,23
1,12,0,23
1,13,0,23
1,14,0,26
1,15,0,23
1,16,0,24
1,17,0,24
1,18,0,24
1,19,0,23
2,0,0,33
2,1,0,35
2,2,0,32
2,3,0,33
2,4,0,34
2,5,0,32
2,6,0,32
2,7,0,32
2,8,0,35
2,9,0,31
2,10,0,35
2,11,0,31
2,12,0,33
2,13,0,30
2,14,0,32
2,15,0,35
2,16,0,35
2,17,0,29
2,18,0,30
2,19,0,33
3,0,0,45
3,1,0,39
3,2,0,43
3,3,0,41
3,4,0,40
3,5,0,39
3,6,0,40
3,7,0,40
3,8,0,45
3,9,0,39
3,10,0,42
3,11,0,40
3,12,0,42
3,13,0,40
3,14,0,41
3,15,0,44
3,16,0,42
3,17,0,36
3,18,0,40
3,19,0,43
4,0,0,51
4,1,0,56
4,2,0,51
4,3,0,49
4,4,0,50
4,5,0,46
4,6,0,50
4,7,0,52
4,8,0,50
4,9,0,51
4,10,0,46
4,11,0,50
4,12,0,51
4,13,0,47
4,14,0,51
4,15,0,51
4,16,0,51
4,17,0,51
4,18,0,46
4,19,0,49
5,0,0,57
5,1,0,52
5,2,0,56
5,3,0,62
5,4,0,60
5,5,0,62
5,6,0,66
5,7,0,59
5,8,0,66
5,9,0,58
5,10,0,57
5,11,0,64
5,12,0,59
5,13,0,58
5,14,0,62
5,15,0,66
5,16,0,59
5,17,0,61
5,18,0,55
5,19,0,62
6,0,0,68
6,1,0,72
6,2,0,72
6,3,0,69
6,4,0,71
6,5,0,64
6,6,0,72
6,7,0,67
6,8,0,67
6,9,0,68
6,10,0,67
6,11,0,65
6,12,0,66
6,13,0,69
6,14,0,75
6,15,0,66
6,16,0,75
6,17,0,65
6,18,0,69
6,19,0,72
7,0,0,76
7,1,0,77
7,2,0,80
7,3,0,77
7,4,0,81
7,5,0,74
7,6,0,76
7,7,0,72
7,8,0,77
7,9,0,71
7,10,0,80
7,11,0,72
7,12,0,76
7,13,0,80
7,14,0,75
7,15,0,79
7,16,0,81
7,17,0,73
7,18,0,71
7,19,0,78
8,0,0,92
8,1,0,84
8,2,0,88
8,3,0,87
8,4,0,89
8,5,0,82
8,6,0,91
8,7,0,85
8,8,0,78
8,9,0,83
8,10,0,85
8,11,0,88
8,12,0,80
8,13,0,83
8,14,0,85
8,15,0,82
8,16,0,90
8,17,0,88
8,18,0,84
8,19,0,91
9,0,0,89
9,1,0,94
9,2,0,89
9,3,0,89
9,4,0,86
9,5,0,95
9,6,0,94
9,7,0,94
9,8,0,95
9,9,0,99
9,10,0,95
9,11,0,89
9,12,0,94
9,13,0,91
9,14,0,94
9,15,0,93
9,16,0,93
9,17,0,94
9,18,0,93
9,19,0,92
10,0,0,110
10,1,0,105
10,2,0,105
10,3,0,97
10,4,0,99
10,5,0,103
10,6,0,101
10,7,0,106
10,8,0,103
10,9,0,103
10,10,0,100
10,11,0,92
10,12,0,101
10,13,0,103
10,14,0,98
10,15,0,96
10,16,0,104
10,17,0,109
10,18,0,101
10,19,0,104
11,0,0,105
11,1,0,116
11,2,0,107
11,3,0,117
11,4,0,112
11,5,0,108
11,6,0,107
11,7,0,106
11,8,0,116
11,9,0,106
11,10,0,105
11,11,0,111
11,12,0,109
11,13,0,109
11,14,0,108
11,15,0,112
11,16,0,109
11,17,0,109
11,18,0,107
11,19,0,113
12,0,0,117
12,1,0,116
12,2,0,120
12,3,0,127
12,4,0,119
12,5,0,114
12,6,0,114
12,7,0,119
12,8,0,117
12,9,0,121
12,10,0,118
12,11,0,121
12,12,0,119
12,13,0,118
12,14,0,122
12,15,0,127
12,16,0,119
12,17,0,112
12,18,0,115
12,19,0,116
