#N,trial,mode,bytes
1,0,PLAIN_TIGHT,15
1,1,PLAIN_TIGHT,15
1,2,PLAIN_TIGHT,15
1,3,PLAIN_TIGHT,15
1,4,PLAIN_TIGHT,15
1,5,PLAIN_TIGHT,15
1,6,PLAIN_TIGHT,15
1,7,PLAIN_TIGHT,15
1,8,PLAIN_TIGHT,15
1,9,PLAIN_TIGHT,15
1,10,PLAIN_TIGHT,15
1,11,PLAIN_TIGHT,15
1,12,PLAIN_TIGHT,15
1,13,PLAIN_TIGHT,15
1,14,PLAIN_TIGHT,15
1,15,PLAIN_TIGHT,15
1,16,PLAIN_TIGHT,15
1,17,PLAIN_TIGHT,15
1,18,PLAIN_TIGHT,15
1,19,PLAIN_TIGHT,15
2,0,PLAIN_TIGHT,23
2,1,PLAIN_TIGHT,23
2,2,PLAIN_TIGHT,23
2,3,PLAIN_TIGHT,23
2,4,PLAIN_TIGHT,23
2,5,PLAIN_TIGHT,23
2,6,PLAIN_TIGHT,23
2,7,PLAIN_TIGHT,23
2,8,PLAIN_TIGHT,23
2,9,PLAIN_TIGHT,23
2,10,PLAIN_TIGHT,23
2,11,PLAIN_TIGHT,23
2,12,PLAIN_TIGHT,23
2,13,PLAIN_TIGHT,23
2,14,PLAIN_TIGHT,23
2,15,PLAIN_TIGHT,23
2,16,PLAIN_TIGHT,23
2,17,PLAIN_TIGHT,23
2,18,PLAIN_TIGHT,23
2,19,PLAIN_TIGHT,23
3,0,PLAIN_TIGHT,31
3,1,PLAIN_TIGHT,31
3,2,PLAIN_TIGHT,31
3,3,PLAIN_TIGHT,31
3,4,PLAIN_TIGHT,31
3,5,PLAIN_TIGHT,31
3,6,PLAIN_TIGHT,31
3,7,PLAIN_TIGHT,31
3,8,PLAIN_TIGHT,31
3,9,PLAIN_TIGHT,31
3,10,PLAIN_TIGHT,31
3,11,PLAIN_TIGHT,31
3,12,PLAIN_TIGHT,31
3,13,PLAIN_TIGHT,31
3,14,PLAIN_TIGHT,31
3,15,PLAIN_TIGHT,31
3,16,PLAIN_TIGHT,31
3,17,PLAIN_TIGHT,31
3,18,PLAIN_TIGHT,31
3,19,PLAIN_TIGHT,31
4,0,PLAIN_TIGHT,39
4,1,PLAIN_TIGHT,39
4,2,PLAIN_TIGHT,39
4,3,PLAIN_TIGHT,39
4,4,PLAIN_TIGHT,39
4,5,PLAIN_TIGHT,39
4,6,PLAIN_TIGHT,39
4,7,PLAIN_TIGHT,39
4,8,PLAIN_TIGHT,39
4,9,PLAIN_TIGHT,39
4,10,PLAIN_TIGHT,39
4,11,PLAIN_TIGHT,39
4,12,PLAIN_TIGHT,39
4,13,PLAIN_TIGHT,39
4,14,PLAIN_TIGHT,39
4,15,PLAIN_TIGHT,39
4,16,PLAIN_TIGHT,39
4,17,PLAIN_TIGHT,39
4,18,PLAIN_TIGHT,39
4,19,PLAIN_TIGHT,39
5,0,PLAIN_TIGHT,47
5,1,PLAIN_TIGHT,47
5,2,PLAIN_TIGHT,47
5,3,PLAIN_TIGHT,47
5,4,PLAIN_TIGHT,47
5,5,PLAIN_TIGHT,47
5,6,PLAIN_TIGHT,47
5,7,PLAIN_TIGHT,47
5,8,PLAIN_TIGHT,47
5,9,PLAIN_TIGHT,47
5,10,PLAIN_TIGHT,47
5,11,PLAIN_TIGHT,47
5,12,PLAIN_TIGHT,47
5,13,PLAIN_TIGHT,47
5,14,PLAIN_TIGHT,47
5,15,PLAIN_TIGHT,47
5,16,PLAIN_TIGHT,47
5,17,PLAIN_TIGHT,47
5,18,PLAIN_TIGHT,47
5,19,PLAIN_TIGHT,47
