#N,trial,mode,bytes
1,0,ZLIB,15
1,1,ZLIB,15
1,2,ZLIB,15
1,3,ZLIB,15
1,4,ZLIB,15
1,5,ZLIB,15
1,6,ZLIB,15
1,7,ZLIB,15
1,8,ZLIB,15
1,9,ZLIB,15
1,10,ZLIB,15
1,11,ZLIB,15
1,12,ZLIB,15
1,13,ZLIB,15
1,14,ZLIB,15
1,15,ZLIB,15
1,16,ZLIB,15
1,17,ZLIB,15
1,18,ZLIB,15
1,19,ZLIB,15
2,0,ZLIB,23
2,1,ZLIB,23
2,2,ZLIB,23
2,3,ZLIB,23
2,4,ZLIB,23
2,5,ZLIB,23
2,6,ZLIB,23
2,7,ZLIB,23
2,8,ZLIB,23
2,9,ZLIB,23
2,10,ZLIB,23
2,11,ZLIB,23
2,12,ZLIB,23
2,13,ZLIB,23
2,14,ZLIB,23
2,15,ZLIB,23
2,16,ZLIB,23
2,17,ZLIB,23
2,18,ZLIB,23
2,19,ZLIB,23
3,0,ZLIB,31
3,1,ZLIB,31
3,2,ZLIB,31
3,3,ZLIB,31
3,4,ZLIB,31
3,5,ZLIB,31
3,6,ZLIB,31
3,7,ZLIB,31
3,8,ZLIB,31
3,9,ZLIB,31
3,10,ZLIB,31
3,11,ZLIB,31
3,12,ZLIB,31
3,13,ZLIB,31
3,14,ZLIB,31
3,15,ZLIB,31
3,16,ZLIB,31
3,17,ZLIB,31
3,18,ZLIB,31
3,19,ZLIB,31
4,0,ZLIB,39
4,1,ZLIB,39
4,2,ZLIB,39
4,3,ZLIB,39
4,4,ZLIB,39
4,5,ZLIB,39
4,6,ZLIB,39
4,7,ZLIB,39
4,8,ZLIB,39
4,9,ZLIB,39
4,10,ZLIB,39
4,11,ZLIB,39
4,12,ZLIB,39
4,13,ZLIB,39
4,14,ZLIB,39
4,15,ZLIB,39
4,16,ZLIB,39
4,17,ZLIB,39
4,18,ZLIB,39
4,19,ZLIB,39
5,0,ZLIB,47
5,1,ZLIB,47
5,2,ZLIB,47
5,3,ZLIB,47
5,4,ZLIB,47
5,5,ZLIB,47
5,6,ZLIB,47
5,7,ZLIB,47
5,8,ZLIB,47
5,9,ZLIB,47
5,10,ZLIB,47
5,11,ZLIB,47
5,12,ZLIB,47
5,13,ZLIB,47
5,14,ZLIB,47
5,15,ZLIB,47
5,16,ZLIB,47
5,17,ZLIB,47
5,18,ZLIB,47
5,19,ZLIB,47
6,0,ZLIB,55
6,1,ZLIB,55
6,2,ZLIB,55
6,3,ZLIB,55
6,4,ZLIB,55
6,5,ZLIB,55
6,6,ZLIB,55
6,7,ZLIB,55
6,8,ZLIB,55
6,9,ZLIB,55
6,10,ZLIB,55
6,11,ZLIB,55
6,12,ZLIB,55
6,13,ZLIB,55
6,14,ZLIB,55
6,15,ZLIB,55
6,16,ZLIB,55
6,17,ZLIB,55
6,18,ZLIB,55
6,19,ZLIB,55
7,0,ZLIB,63
7,1,ZLIB,63
7,2,ZLIB,63
7,3,ZLIB,63
7,4,ZLIB,63
7,5,ZLIB,63
7,6,ZLIB,63
7,7,ZLIB,63
7,8,ZLIB,63
7,9,ZLIB,63
7,10,ZLIB,63
7,11,ZLIB,63
7,12,ZLIB,63
7,13,ZLIB,63
7,14,ZLIB,63
7,15,ZLIB,63
7,16,ZLIB,63
7,17,ZLIB,63
7,18,ZLIB,63
7,19,ZLIB,63
8,0,ZLIB,71
8,1,ZLIB,71
8,2,ZLIB,71
8,3,ZLIB,71
8,4,ZLIB,71
8,5,ZLIB,71
8,6,ZLIB,71
8,7,ZLIB,71
8,8,ZLIB,71
8,9,ZLIB,71
8,10,ZLIB,71
8,11,ZLIB,71
8,12,ZLIB,71
8,13,ZLIB,71
8,14,ZLIB,71
8,15,ZLIB,71
8,16,ZLIB,71
8,17,ZLIB,71
8,18,ZLIB,71
8,19,ZLIB,71
9,0,ZLIB,79
9,1,ZLIB,79
9,2,ZLIB,79
9,3,ZLIB,79
9,4,ZLIB,79
9,5,ZLIB,79
9,6,ZLIB,79
9,7,ZLIB,79
9,8,ZLIB,79
9,9,ZLIB,79
9,10,ZLIB,79
9,11,ZLIB,79
9,12,ZLIB,79
9,13,ZLIB,79
9,14,ZLIB,79
9,15,ZLIB,79
9,16,ZLIB,79
9,17,ZLIB,79
9,18,ZLIB,79
9,19,ZLIB,79
10,0,ZLIB,87
10,1,ZLIB,87
10,2,ZLIB,87
10,3,ZLIB,87
10,4,ZLIB,87
10,5,ZLIB,87
10,6,ZLIB,87
10,7,ZLIB,87
10,8,ZLIB,87
10,9,ZLIB,87
10,10,ZLIB,87
10,11,ZLIB,87
10,12,ZLIB,87
10,13,ZLIB,87
10,14,ZLIB,87
10,15,ZLIB,87
10,16,ZLIB,87
10,17,ZLIB,87
10,18,ZLIB,87
10,19,ZLIB,87
11,0,ZLIB,95
11,1,ZLIB,95
11,2,ZLIB,95
11,3,ZLIB,95
11,4,ZLIB,95
11,5,ZLIB,95
11,6,ZLIB,95
11,7,ZLIB,95
11,8,ZLIB,95
11,9,ZLIB,95
11,10,ZLIB,95
11,11,ZLIB,95
11,12,ZLIB,95
11,13,ZLIB,95
11,14,ZLIB,95
11,15,ZLIB,95
11,16,ZLIB,95
11,17,ZLIB,95
11,18,ZLIB,95
11,19,ZLIB,95
12,0,ZLIB,103
12,1,ZLIB,103
12,2,ZLIB,103
12,3,ZLIB,103
12,4,ZLIB,103
12,5,ZLIB,103
12,6,ZLIB,103
12,7,ZLIB,103
12,8,ZLIB,103
12,9,ZLIB,103
12,10,ZLIB,103
12,11,ZLIB,103
12,12,ZLIB,103
12,13,ZLIB,103
12,14,ZLIB,103
12,15,ZLIB,103
12,16,ZLIB,103
12,17,ZLIB,103
12,18,ZLIB,103
12,19,ZLIB,103
